name,satisfaction_level,last_evaluation,number_projects,average_monthly_hours,time_spent_company,work_accident,left,promotion_last_5_years,department,salary,salary_level
SMITH,0.38,0.53,2,157,3,0,1,0,sales,low,1
JOHNSON,0.8,0.86,5,262,6,0,1,0,sales,medium,2
WILLIAMS,0.11,0.88,7,272,4,0,1,0,sales,medium,2
BROWN,0.72,0.87,5,223,5,0,1,0,sales,low,1
JONES,0.37,0.52,2,159,3,0,1,0,sales,low,1
MILLER,0.41,0.5,2,153,3,0,1,0,sales,low,1
DAVIS,0.1,0.77,6,247,4,0,1,0,sales,low,1
GARCIA,0.92,0.85,5,259,5,0,1,0,sales,low,1
RODRIGUEZ,0.89,1,5,224,5,0,1,0,sales,low,1
WILSON,0.42,0.53,2,142,3,0,1,0,sales,low,1
MARTINEZ,0.45,0.54,2,135,3,0,1,0,sales,low,1
ANDERSON,0.11,0.81,6,305,4,0,1,0,sales,low,1
TAYLOR,0.84,0.92,4,234,5,0,1,0,sales,low,1
THOMAS,0.41,0.55,2,148,3,0,1,0,sales,low,1
HERNANDEZ,0.36,0.56,2,137,3,0,1,0,sales,low,1
MOORE,0.38,0.54,2,143,3,0,1,0,sales,low,1
MARTIN,0.45,0.47,2,160,3,0,1,0,sales,low,1
JACKSON,0.78,0.99,4,255,6,0,1,0,sales,low,1
THOMPSON,0.45,0.51,2,160,3,1,1,1,sales,low,1
WHITE,0.76,0.89,5,262,5,0,1,0,sales,low,1
LOPEZ,0.11,0.83,6,282,4,0,1,0,sales,low,1
LEE,0.38,0.55,2,147,3,0,1,0,sales,low,1
GONZALEZ,0.09,0.95,6,304,4,0,1,0,sales,low,1
HARRIS,0.46,0.57,2,139,3,0,1,0,sales,low,1
CLARK,0.4,0.53,2,158,3,0,1,0,sales,low,1
LEWIS,0.89,0.92,5,242,5,0,1,0,sales,low,1
ROBINSON,0.82,0.87,4,239,5,0,1,0,sales,low,1
WALKER,0.4,0.49,2,135,3,0,1,0,sales,low,1
PEREZ,0.41,0.46,2,128,3,0,1,0,accounting,low,1
HALL,0.38,0.5,2,132,3,0,1,0,accounting,low,1
YOUNG,0.09,0.62,6,294,4,0,1,0,accounting,low,1
ALLEN,0.45,0.57,2,134,3,0,1,0,hr,low,1
SANCHEZ,0.4,0.51,2,145,3,0,1,0,hr,low,1
WRIGHT,0.45,0.55,2,140,3,0,1,0,hr,low,1
